TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTrans
28-carapan	23-guadalajara	2	0.0
46-tijuana	47-ensenada	4	287.79368528
19-huasteca	20-tamazunchale	1	0.0
34-puebla	32-poza_rica	1	0.0
30-queretaro	26-salamanca	3	739.8684526
33-veracruz	32-poza_rica	3	0.0
20-tamazunchale	19-huasteca	2	0.0
37-coatzacoalcos	36-temascal	2	408.0
23-guadalajara	24-aguascalientes	4	960.0
08-moctezuma	02-cananea	3	111.5551471
29-lazaro_cardenas	26-salamanca	4	0.0
10-durango	11-laguna	1	589.5665491
04-los_mochis	03-obregon	2	260.9831328
42-merida	41-lerma	2	0.0
10-durango	06-mazatlan	4	181.9415935
25-san_luis_potosi	30-queretaro	2	0.0
31-central	26-salamanca	2	0.0
25-san_luis_potosi	24-aguascalientes	4	0.0
29-lazaro_cardenas	31-central	3	0.0
44-chetumal	41-lerma	2	0.0
16-monterrey	14-reynosa	2	676.0092508
16-monterrey	19-huasteca	2	0.0
32-poza_rica	19-huasteca	3	6.08044139999961
28-carapan	26-salamanca	4	0.0
23-guadalajara	22-tepic	1	273.5954904
48-mexicali	47-ensenada	1	0.0
39-grijalva	37-coatzacoalcos	1	0.0
29-lazaro_cardenas	28-carapan	2	0.0
19-huasteca	16-monterrey	3	0.0
30-queretaro	20-tamazunchale	3	0.0
05-culiacan	06-mazatlan	3	0.0
11-laguna	10-durango	1	0.0
02-cananea	01-hermosillo	4	30.6072014
16-monterrey	12-rio_escondido	3	0.0
10-durango	06-mazatlan	1	852.321123
08-moctezuma	09-chihuahua	2	64.3434616
24-aguascalientes	25-san_luis_potosi	2	45.7754465999996
12-rio_escondido	16-monterrey	1	0.0
22-tepic	23-guadalajara	2	0.0
35-acapulco	36-temascal	2	0.0
33-veracruz	36-temascal	2	0.0
39-grijalva	38-tabasco	1	0.0
18-valles	19-huasteca	3	0.0
19-huasteca	18-valles	4	175.7225221
43-cancun	42-merida	4	0.0
24-aguascalientes	17-saltillo	4	400.0
34-puebla	35-acapulco	1	0.0
17-saltillo	24-aguascalientes	1	0.0
01-hermosillo	02-cananea	1	0.0
34-puebla	31-central	2	500.0
24-aguascalientes	26-salamanca	2	0.0
06-mazatlan	10-durango	4	0.0
24-aguascalientes	10-durango	1	0.0
26-salamanca	24-aguascalientes	4	592.4784616
30-queretaro	25-san_luis_potosi	1	704.5548779
41-lerma	38-tabasco	4	0.0
42-merida	43-cancun	4	352.1008193
44-chetumal	42-merida	2	160.2645143
25-san_luis_potosi	24-aguascalientes	1	0.0
41-lerma	44-chetumal	4	359.04281288
11-laguna	09-chihuahua	1	700.0
09-chihuahua	12-rio_escondido	3	0.0
14-reynosa	13-nuevo_laredo	1	78.4343544
07-juarez	08-moctezuma	2	429.1237591
18-valles	25-san_luis_potosi	3	0.0
24-aguascalientes	23-guadalajara	3	0.0
26-salamanca	31-central	1	0.0
23-guadalajara	27-manzanillo	3	295.881793
19-huasteca	32-poza_rica	4	248.1087675
14-reynosa	16-monterrey	3	0.0
47-ensenada	46-tijuana	1	0.0
36-temascal	33-veracruz	4	0.0
04-los_mochis	05-culiacan	3	0.0
28-carapan	23-guadalajara	1	0.0
02-cananea	08-moctezuma	1	0.0
33-veracruz	34-puebla	4	0.0
23-guadalajara	27-manzanillo	2	250.7789044
32-poza_rica	33-veracruz	4	0.0
13-nuevo_laredo	12-rio_escondido	1	0.0
32-poza_rica	31-central	3	116.178792560001
30-queretaro	26-salamanca	2	0.0
33-veracruz	32-poza_rica	2	0.0
20-tamazunchale	19-huasteca	3	0.0
29-lazaro_cardenas	23-guadalajara	4	0.0
31-central	20-tamazunchale	4	0.0
08-moctezuma	02-cananea	2	145.5852644
39-grijalva	36-temascal	1	0.0
12-rio_escondido	09-chihuahua	1	0.0
17-saltillo	11-laguna	3	0.0
08-moctezuma	07-juarez	4	0.0
42-merida	41-lerma	3	0.0
47-ensenada	48-mexicali	4	142.179993
25-san_luis_potosi	30-queretaro	3	0.0
05-culiacan	06-mazatlan	2	0.0
20-tamazunchale	30-queretaro	2	0.0
26-salamanca	28-carapan	1	54.0
16-monterrey	19-huasteca	3	0.0
26-salamanca	29-lazaro_cardenas	1	0.0
15-matamoros	14-reynosa	4	0.0
32-poza_rica	19-huasteca	2	0.0
42-merida	44-chetumal	1	0.0
48-mexicali	46-tijuana	2	0.0
48-mexicali	49-san_luis_rio_colorado	4	113.1254409
18-valles	25-san_luis_potosi	1	0.0
39-grijalva	37-coatzacoalcos	2	0.0
37-coatzacoalcos	39-grijalva	3	634.4798264
06-mazatlan	10-durango	3	0.0
30-queretaro	31-central	2	310.0
41-lerma	42-merida	1	370.0
37-coatzacoalcos	39-grijalva	1	20.162118
16-monterrey	12-rio_escondido	2	306.5009577
35-acapulco	34-puebla	3	0.0
08-moctezuma	09-chihuahua	1	69.5550500000001
26-salamanca	30-queretaro	1	0.0
22-tepic	23-guadalajara	3	0.0
41-lerma	38-tabasco	3	0.0
35-acapulco	36-temascal	3	0.0
33-veracruz	36-temascal	3	0.0
18-valles	19-huasteca	2	0.0
11-laguna	17-saltillo	1	0.0
31-central	34-puebla	4	0.0
35-acapulco	29-lazaro_cardenas	1	1160.7644602
34-puebla	31-central	1	0.0
24-aguascalientes	26-salamanca	3	0.0
19-huasteca	32-poza_rica	3	0.0
33-veracruz	34-puebla	3	0.0
22-tepic	23-guadalajara	1	0.0
44-chetumal	42-merida	3	205.3056402
36-temascal	35-acapulco	2	320.5083737
13-nuevo_laredo	14-reynosa	3	0.0
24-aguascalientes	10-durango	4	0.0
34-puebla	36-temascal	2	0.0
24-aguascalientes	23-guadalajara	2	0.0
37-coatzacoalcos	36-temascal	4	70.25051714
23-guadalajara	29-lazaro_cardenas	4	505.4192736
31-central	32-poza_rica	4	0.0
04-los_mochis	05-culiacan	4	0.0
04-los_mochis	03-obregon	4	302.7633551
16-monterrey	17-saltillo	4	67.0462881999999
10-durango	24-aguascalientes	1	0.0
47-ensenada	48-mexicali	3	200.94001289
32-poza_rica	31-central	2	0.0
34-puebla	32-poza_rica	3	512.66471346
46-tijuana	48-mexicali	1	510.0
25-san_luis_potosi	30-queretaro	4	0.0
32-poza_rica	34-puebla	3	0.0
29-lazaro_cardenas	23-guadalajara	3	0.0
14-reynosa	16-monterrey	4	0.0
16-monterrey	14-reynosa	4	788.7460947
16-monterrey	19-huasteca	4	447.6532416
36-temascal	37-coatzacoalcos	2	0.0
39-grijalva	36-temascal	2	0.0
06-mazatlan	22-tepic	1	0.0
12-rio_escondido	09-chihuahua	2	0.0
29-lazaro_cardenas	28-carapan	4	0.0
17-saltillo	11-laguna	2	0.0
25-san_luis_potosi	18-valles	3	190.1793282
05-culiacan	04-los_mochis	4	546.0087672
31-central	26-salamanca	4	121.497116
20-tamazunchale	30-queretaro	3	0.0
29-lazaro_cardenas	31-central	1	550.0
44-chetumal	41-lerma	4	0.0
24-aguascalientes	25-san_luis_potosi	4	0.0
32-poza_rica	19-huasteca	1	0.0
35-acapulco	36-temascal	4	0.0
31-central	30-queretaro	3	0.0
48-mexicali	46-tijuana	3	0.0
31-central	34-puebla	3	0.0
39-grijalva	37-coatzacoalcos	3	0.0
19-huasteca	16-monterrey	1	623.8482343
06-mazatlan	10-durango	2	0.0
30-queretaro	20-tamazunchale	1	0.0
05-culiacan	06-mazatlan	1	0.0
12-rio_escondido	13-nuevo_laredo	1	100.0
41-lerma	42-merida	2	370.0
41-lerma	38-tabasco	1	0.0
35-acapulco	34-puebla	2	0.0
26-salamanca	24-aguascalientes	3	192.241944
12-rio_escondido	16-monterrey	3	0.0
22-tepic	23-guadalajara	4	0.0
41-lerma	38-tabasco	2	0.0
42-merida	43-cancun	2	272.8820094
44-chetumal	42-merida	4	314.2025619
03-obregon	04-los_mochis	2	0.0
34-puebla	35-acapulco	3	90.0
29-lazaro_cardenas	35-acapulco	1	0.0
23-guadalajara	28-carapan	4	63.2226701
48-mexicali	49-san_luis_rio_colorado	1	121.1132883
36-temascal	39-grijalva	4	0.0
07-juarez	08-moctezuma	4	475.2750477
18-valles	25-san_luis_potosi	2	0.0
06-mazatlan	22-tepic	4	0.0
06-mazatlan	05-culiacan	1	724.8596997
33-veracruz	34-puebla	2	0.0
28-carapan	29-lazaro_cardenas	1	0.0
19-huasteca	20-tamazunchale	4	600.0
