load_zone	timestamp	LZ_NetDispatch	LZ_TXNet	lz_demand_mw	DumpPower
32-poza_rica	20190215	0.0	357.6133394	357.6133394	-0.0
32-poza_rica	20210128	0.0	390.40547949999944	390.4054795	-1.13686837721616e-13
32-poza_rica	20230215	0.0	397.5835145000001	397.5835145	-0.0
20-tamazunchale	20160128	0.0	105.4794612	105.4794612	-0.0
20-tamazunchale	20190215	0.0	103.8409706	103.8409706	-0.0
20-tamazunchale	20210128	0.0	113.92204420000002	113.9220442	-0.0
20-tamazunchale	20230215	0.0	118.9267486	118.9267486	-0.0
41-lerma	20160128	0.0	113.07535959999998	113.0753596	2.8421709430404e-14
41-lerma	20190215	0.0	117.47944140000001	117.4794414	-5.6843418860808e-14
41-lerma	20210128	0.0	127.45824670000002	127.4582467	2.8421709430404e-14
41-lerma	20230215	0.0	151.58422379999996	151.5842238	-0.0
12-rio_escondido	20160128	0.0	209.7593043000001	209.7593043	-0.0
12-rio_escondido	20190215	0.0	206.50095770000001	206.5009577	-0.0
12-rio_escondido	20210128	326.5484528	-100.0	226.5484528	-0.0
12-rio_escondido	20230215	326.5484528	-90.0475095999999	236.5009432	-0.0
06-mazatlan	20160128	0.0	127.46142329999998	127.4614233	-0.0
06-mazatlan	20190215	0.0	126.58151800000007	126.581518	-0.0
06-mazatlan	20210128	0.0	139.1831959	139.1831959	-0.0
06-mazatlan	20230215	0.0	146.84567789999994	146.8456779	-0.0
07-juarez	20160128	833.8039386	-435.3679285	398.4360101	-0.0
07-juarez	20190215	833.8039386	-429.1237591	404.6801795	-0.0
07-juarez	20210128	960.0501457	-507.042203	453.0079427	5.6843418860808e-14
07-juarez	20230215	960.0501457	-475.2750477	484.775098	5.6843418860808e-14
16-monterrey	20160128	2883.8223978	-352.31532980000003	2531.507068	2.27373675443232e-13
16-monterrey	20190215	2883.8223978	-391.63910479999976	2492.183293	1.13686837721616e-13
16-monterrey	20210128	3485.4747261	-751.3456651	2734.129061	1.13686837721616e-13
16-monterrey	20230215	3485.4747261	-631.2327601	2854.241966	-0.0
10-durango	20160128	1617.9543224	-1441.8876721	176.0666503	2.27373675443232e-13
10-durango	20190215	1617.9543224	-1439.1284085	178.8259139	1.13686837721616e-13
10-durango	20210128	1617.9543224	-1417.7726396	200.1816828	-0.0
10-durango	20230215	1617.9543224	-1403.7349109000002	214.2194115	2.27373675443232e-13
31-central	20160128	5038.6917656	-232.03651860000002	4806.655247	4.54747350886464e-13
31-central	20190215	5038.6917656	156.1590294	5194.850795	2.27373675443232e-13
31-central	20210128	4754.64915264	1412.256748360001	6166.905901	8.5265128291212e-14
31-central	20230215	5038.6917656	1499.5761354	6538.267901	4.54747350886464e-13
46-tijuana	20160128	1132.99672328	-797.79368528	335.203038	-0.0
46-tijuana	20190215	1027.516451	-723.5203062	303.9961448	-7.105427357601e-14
46-tijuana	20210128	988.36925759	-695.9550157900001	292.4142418	-1.13686837721616e-13
46-tijuana	20230215	1058.27160366	-745.1763852600001	313.0952184	-8.5265128291212e-14
