LOAD_ZONE	TIMEPOINT	lz_demand_mw
23-guadalajara	4	1718.323119
24-aguascalientes	1	942.4466983
24-aguascalientes	2	976.5993689
24-aguascalientes	3	1152.241944
24-aguascalientes	4	1174.271779
25-san_luis_potosi	1	528.4694398
25-san_luis_potosi	2	547.6202764
25-san_luis_potosi	3	646.1104439
25-san_luis_potosi	4	658.4634974
26-salamanca	1	567.3339843
26-salamanca	2	587.8932061
26-salamanca	3	693.6265086
26-salamanca	4	706.8880267
27-manzanillo	1	242.0089118
27-manzanillo	2	250.7789044
27-manzanillo	3	295.881793
27-manzanillo	4	301.5387881
28-carapan	1	394.5501672
28-carapan	2	408.8479963
28-carapan	3	482.3798018
28-carapan	4	491.6024719
29-lazaro_cardenas	1	405.6392518
29-lazaro_cardenas	2	420.3389306
29-lazaro_cardenas	3	495.9373944
29-lazaro_cardenas	4	505.4192736
30-queretaro	1	1155.662582
30-queretaro	2	1197.541834
30-queretaro	3	1412.921178
30-queretaro	4	1439.934967
31-central	1	4806.655247
31-central	2	5194.850795
31-central	3	6166.905901
31-central	4	6538.267901
32-poza_rica	1	345.4669228
32-poza_rica	2	357.6133394
32-poza_rica	3	390.4054795
32-poza_rica	4	397.5835145
33-veracruz	1	351.1993251
33-veracruz	2	363.5472896
33-veracruz	3	396.8835563
33-veracruz	4	404.180698
34-puebla	1	1135.104492
34-puebla	2	1175.014108
34-puebla	3	1282.759605
34-puebla	4	1306.344555
35-acapulco	1	309.6222355
35-acapulco	2	320.5083737
35-acapulco	3	349.8980925
35-acapulco	4	356.3313546
36-temascal	1	450.0645867
36-temascal	2	465.8885966
36-temascal	3	508.609274
36-temascal	4	517.9606161
37-coatzacoalcos	1	391.8424093
37-coatzacoalcos	2	405.6193612
37-coatzacoalcos	3	442.8135188
37-coatzacoalcos	4	450.9551334
38-tabasco	1	518.9144307
38-tabasco	2	537.1591611
38-tabasco	3	586.4151493
38-tabasco	4	597.1970382
39-grijalva	1	295.9787258
39-grijalva	2	306.3851661
39-grijalva	3	334.4798264
39-grijalva	4	340.6296066
40-ixtepec	1	121.5858374
40-ixtepec	2	125.8607249
40-ixtepec	3	137.4018003
40-ixtepec	4	139.9280839
41-lerma	1	113.0753596
41-lerma	2	117.4794414
41-lerma	3	127.4582467
41-lerma	4	151.5842238
42-merida	1	247.7337221
42-merida	2	257.3825049
42-merida	3	279.2447972
42-merida	4	332.1017426
43-cancun	1	262.6521795
43-cancun	2	272.8820094
43-cancun	3	296.060843
43-cancun	4	352.1008193
44-chetumal	1	33.44891294
44-chetumal	2	34.75168792
44-chetumal	3	37.70352632
44-chetumal	4	44.84025098
45-cozumel	1	15.96554442
45-cozumel	2	16.58737366
45-cozumel	3	17.99631951
45-cozumel	4	21.4027589
46-tijuana	1	335.203038
46-tijuana	2	303.9961448
46-tijuana	3	292.4142418
46-tijuana	4	313.0952184
47-ensenada	1	99.56291688
47-ensenada	2	90.2937607
47-ensenada	3	86.85367239
47-ensenada	4	92.99639226
48-mexicali	1	577.1174801
48-mexicali	2	523.3887202
48-mexicali	3	503.4482127
48-mexicali	4	539.0545521
49-san_luis_rio_colorado	1	121.1132883
49-san_luis_rio_colorado	2	109.8378253
49-san_luis_rio_colorado	3	105.6531307
49-san_luis_rio_colorado	4	113.1254409
50-villa_constitucion	1	17.17599727
50-villa_constitucion	2	16.70002016
50-villa_constitucion	3	19.26665214
50-villa_constitucion	4	20.59441844
51-la_paz	1	70.56759587
51-la_paz	2	68.61204364
51-la_paz	3	79.15705277
51-la_paz	4	84.61218142
52-los_cabos	1	80.17956503
52-los_cabos	2	77.95764822
52-los_cabos	3	89.93898661
52-los_cabos	4	96.13715501
53-mulege	1	10
53-mulege	2	10
53-mulege	3	12
53-mulege	4	13
